,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
1,50,0.000236,0.445,0.669,0.606,-5.232,115.416,Major Minus,40
2,64,0.0401,0.293,0.817,0.13,-5.432,165.0,Kings And Queens,47
3,62,0.558,0.542,0.45,0.579,-9.931,144.437,Tainted Love,50
4,12,0.65,0.361,0.341,0.0919,-12.342,159.724,Portal,75
5,0,0.927,0.132,0.0176,0.0729,-27.762,95.979,Day One,26
6,67,0.00379,0.737,0.88,0.417,-6.449,115.998,Vogue,9
7,70,0.0156,0.567,0.789,0.382,-5.986,163.96,This Is Why We Can't Have Nice Things,5
8,26,0.169,0.394,0.723,0.0593,-12.819,137.987,Crises - 2013 Remaster,17
9,62,0.038,0.793,0.634,0.304,-4.807,117.024,Welcome To New York,9
10,0,0.000998,0.732,0.81,0.133,-5.45,132.962,Shut Up And Drive,83
11,0,0.587,0.507,0.505,0.124,-10.953,141.006,When You Break,19
12,0,0.0338,0.737,0.539,0.113,-9.881,111.998,Still Unashamed (feat. Tedashii),10
13,74,0.0861,0.751,0.642,0.0953,-5.165,95.045,SOLO,96
14,0,0.287,0.615,0.614,0.122,-5.233,153.783,Day That I Die (feat. Amos Lee),71
15,70,0.914,0.38,0.0993,0.0605,-20.567,174.874,Blowin' in the Wind,72
16,46,0.057,0.685,0.708,0.104,-5.768,96.088,Tänd Alla Ljus,16
17,0,0.0341,0.69,0.771,0.107,-6.529,124.016,Wish I Was Sober,83
18,39,0.333,0.788,0.403,0.0585,-12.776,111.798,You Are,39
19,41,0.691,0.527,0.464,0.131,-9.117,74.965,The Fault In Our Stars (MMXIV),97
20,0,0.0918,0.625,0.578,0.0562,-6.449,124.988,Bloody Lies,83
21,71,0.209,0.642,0.881,0.21,-3.537,138.03,Paradise,0
22,27,0.698,0.788,0.252,0.0968,-19.024,100.009,Bright,68
23,55,0.107,0.632,0.518,0.354,-6.126,90.007,If I Were a Boy,20
24,0,0.203,0.674,0.89,0.0819,-4.446,97.02,"Hey, Soul Sister",13
25,0,0.33,0.388,0.628,0.0728,-8.017,85.18,Fantasy,13
26,0,0.169,0.577,0.449,0.127,-14.604,74.972,Brown Eyed Girl,10
27,0,0.000105,0.34,0.737,0.0699,-4.681,172.022,Feel It All Around,14
28,0,0.491,0.0978,0.428,0.27,-9.345,60.613,Starálfur,45
29,58,0.0181,0.963,0.298,0.0756,-5.748,130.014,Sexy Bitch (feat. Akon) - Extended,58
30,0,0.0189,0.42,0.93,0.264,-5.583,99.641,The Number Of The Beast - 1998 Remastered Version,13
31,0,0.674,0.648,0.619,0.0665,-5.223,134.977,Sleeping Sickness,48
32,77,0.367,0.61,0.725,0.154,-5.131,146.163,Nights Like This (feat. Ty Dolla $ign),89
33,0,0.000821,0.535,0.821,0.0438,-4.997,148.08,OutRight,83
34,57,0.823,0.605,0.544,0.338,-11.37,115.779,The Wanderer,21
35,35,0.444,0.322,0.785,0.191,-6.346,184.01,Last Dance - 2010 Remaster,24
36,0,0.683,0.461,0.31,0.168,-13.052,109.133,Long Nights,11
37,0,0.993,0.457,0.125,0.11,-19.345,105.246,Bless You,61
39,0,0.0748,0.588,0.756,0.108,-8.507,113.029,The Sun II,13
40,83,0.127,0.5,0.748,0.447,-9.072,118.852,Don't Stop Believin',22
41,70,0.0527,0.601,0.806,0.185,-4.579,89.87,Alright,65
42,29,0.000334,0.615,0.932,0.394,-4.91,100.074,Chocolate,2
43,0,0.466,0.68,0.904,0.0748,-6.23,81.99,Riviera Life,93
44,58,0.000117,0.575,0.881,0.147,-13.012,132.127,Kings of Metal,17
45,32,0.0165,0.535,0.761,0.0485,-7.589,149.968,The Sea,57
46,45,0.0266,0.426,0.369,0.334,-14.007,99.989,Flying with Mother,73
47,37,0.735,0.402,0.267,0.103,-5.816,132.716,Blind - Acoustic,55
48,71,0.352,0.676,0.695,0.119,-8.327,90.268,Lighters,96
49,69,0.159,0.579,0.872,0.0935,-6.126,76.214,Only the Good Die Young,96
50,38,0.751,0.581,0.389,0.118,-10.164,149.847,Waste,55
51,53,0.335,0.19,0.276,0.11,-14.83,68.619,"Honor (Main Title Theme from ""The Pacific"")",29
52,58,0.0286,0.163,0.616,0.0826,-9.996,81.993,Little Wonders,88
53,59,0.0214,0.747,0.83,0.0639,-5.426,123.988,Can't Believe It (feat. Pitbull),70
54,57,0.471,0.495,0.71,0.0703,-3.941,90.024,TESTIFY,36
55,40,0.0662,0.711,0.578,0.191,-6.353,119.851,Central Reservation - The Then Again Version,18
56,0,0.0499,0.647,0.363,0.0754,-10.981,120.102,Judge and Jury (Paul Dinletir Remix),12
57,51,0.00761,0.507,0.662,0.259,-6.986,134.88,Which Witch,0
58,71,0.0904,0.912,0.716,0.0491,-4.141,94.981,Fancy,70
59,38,0.139,0.501,0.629,0.228,-5.227,143.926,New Day,17
60,49,0.00857,0.546,0.676,0.338,-5.776,135.706,Straight Razor,0
61,0,0.0317,0.711,0.774,0.124,-4.068,111.016,Beer Can’t Fix,27
62,62,6.94e-06,0.59,0.787,0.0293,-5.766,111.926,Robot Rock,65
63,51,0.995,0.297,0.0214,0.0652,-32.398,212.349,The Portrait,6
64,27,0.421,0.702,0.456,0.113,-16.992,132.73,Games People Play,39
65,0,0.00226,0.309,0.547,0.108,-7.752,156.736,Lift,8
66,25,0.0123,0.678,0.715,0.163,-7.656,116.995,Simple Science - Radio Edit,18
67,57,0.0383,0.62,0.893,0.159,-1.718,101.089,Sing Me to Sleep - Marshmello Remix,65
68,0,0.0172,0.642,0.735,0.0391,-8.866,99.682,Superstition - Single Version,13
69,74,0.416,0.575,0.33,0.0872,-6.557,95.801,Shallow - Radio Edit,36
70,0,0.24,0.526,0.587,0.886,-8.733,93.986,Are You In?,37
71,25,0.299,0.737,0.709,0.11,-9.756,105.961,The Golden Floor,18
72,42,0.0807,0.874,0.728,0.559,-4.921,118.009,Gangsta Walk (feat. Nate Dogg),7
73,52,0.0263,0.901,0.531,0.097,-4.118,105.026,Something Different,16
74,0,0.863,0.343,0.128,0.161,-14.76,75.564,Crazy He Calls Me - Single Version,45
75,9,0.813,0.519,0.446,0.11,-9.287,104.962,Raindrops Keep Fallin' On My Head,79
76,42,0.00723,0.633,0.872,0.0524,-4.112,116.936,Don't Let This Feeling Fade (feat. Rivers Cuomo & Lecrae),76
77,61,0.0773,0.602,0.896,0.091,-4.267,124.978,Red,76
78,50,0.0231,0.595,0.957,0.142,-0.884,160.022,Genre Police,57
79,32,0.000555,0.625,0.934,0.111,-2.869,87.023,1940 - AmpLive Remix,65
80,0,0.00317,0.399,0.612,0.127,-7.814,128.167,Oblivion (feat. Susanne Sundfør),12
81,0,0.395,0.439,0.469,0.183,-9.283,127.44,Transatlanticism,66
82,0,0.399,0.499,0.673,0.208,-4.505,121.87,Kids in Love (feat. The Night Game),66
83,44,0.772,0.218,0.19,0.133,-20.281,78.962,"Flying Theme (From ""E.T. the Extra-Terrestrial"")",34
84,55,0.00571,0.446,0.804,0.696,-6.906,169.987,Animals,69
85,54,0.00828,0.71,0.901,0.172,-2.686,125.953,I Love It,76
86,0,0.536,0.498,0.468,0.242,-7.425,108.128,With Arms Outstretched,66
87,70,0.743,0.707,0.656,0.172,-9.279,118.037,Where You Are,33
88,63,0.0191,0.826,0.614,0.0865,-4.22,126.046,Sissy That Walk,58
89,0,0.283,0.703,0.747,0.396,-4.446,149.974,Bang Bang,44
90,19,0.958,0.301,0.116,0.0793,-18.928,116.112,"Brahms: Piano Quintet in F Minor, Op. 34a: I. Allegro non troppo",61
91,52,0.000109,0.331,0.845,0.0758,-4.876,153.484,Diamond Eyes,47
