name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Tranquil and Gentle Tape Hiss Noise Background,3600000,0,0,0,0,0,0,-53.436,0,0
Major Minus,210324,50,0.000236,0.445,0.669,0.796,0.606,-5.232,0.0325,115.416
Kings And Queens,347666,64,0.0401,0.293,0.817,3.4e-05,0.13,-5.432,0.0852,165.0
Tainted Love,153840,62,0.558,0.542,0.45,6.43e-06,0.579,-9.931,0.0361,144.437
Portal,269133,12,0.65,0.361,0.341,0.0147,0.0919,-12.342,0.0351,159.724
Day One,199422,0,0.927,0.132,0.0176,0.964,0.0729,-27.762,0.0362,95.979
Vogue,316813,67,0.00379,0.737,0.88,0.00351,0.417,-6.449,0.0433,115.998
This Is Why We Can't Have Nice Things,207133,70,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96
Crises - 2013 Remaster,1257868,26,0.169,0.394,0.723,0.527,0.0593,-12.819,0.0548,137.987
Welcome To New York,212600,62,0.038,0.793,0.634,1.76e-06,0.304,-4.807,0.0324,117.024
Shut Up And Drive,212253,0,0.000998,0.732,0.81,0.0832,0.133,-5.45,0.0355,132.962
When You Break,285677,0,0.587,0.507,0.505,0.00285,0.124,-10.953,0.0443,141.006
Still Unashamed (feat. Tedashii),276008,0,0.0338,0.737,0.539,0,0.113,-9.881,0.153,111.998
SOLO,169566,74,0.0861,0.751,0.642,0,0.0953,-5.165,0.087,95.045
Day That I Die (feat. Amos Lee),292746,0,0.287,0.615,0.614,0,0.122,-5.233,0.0331,153.783
Blowin' in the Wind,165426,70,0.914,0.38,0.0993,2.32e-05,0.0605,-20.567,0.0509,174.874
Tänd Alla Ljus,230233,46,0.057,0.685,0.708,0,0.104,-5.768,0.257,96.088
Wish I Was Sober,207440,0,0.0341,0.69,0.771,0,0.107,-6.529,0.0321,124.016
You Are,246786,39,0.333,0.788,0.403,0.000243,0.0585,-12.776,0.0345,111.798
The Fault In Our Stars (MMXIV),193182,41,0.691,0.527,0.464,0.00188,0.131,-9.117,0.0323,74.965
Bloody Lies,201600,0,0.0918,0.625,0.578,2.51e-05,0.0562,-6.449,0.0311,124.988
Paradise,222044,71,0.209,0.642,0.881,0,0.21,-3.537,0.0393,138.03
Bright,142200,27,0.698,0.788,0.252,0.00137,0.0968,-19.024,0.123,100.009
If I Were a Boy,249146,55,0.107,0.632,0.518,0,0.354,-6.126,0.0313,90.007
"Hey, Soul Sister",216773,0,0.203,0.674,0.89,0,0.0819,-4.446,0.0459,97.02
Fantasy,280013,0,0.33,0.388,0.628,0,0.0728,-8.017,0.153,85.18
Brown Eyed Girl,185533,0,0.169,0.577,0.449,0,0.127,-14.604,0.037,74.972
Feel It All Around,192080,0,0.000105,0.34,0.737,0.762,0.0699,-4.681,0.0582,172.022
Starálfur,406266,0,0.491,0.0978,0.428,0.877,0.27,-9.345,0.0442,60.613
Sexy Bitch (feat. Akon) - Extended,312000,58,0.0181,0.963,0.298,0.0156,0.0756,-5.748,0.125,130.014
The Number Of The Beast - 1998 Remastered Version,291373,0,0.0189,0.42,0.93,0.00675,0.264,-5.583,0.0638,99.641
Sleeping Sickness,247973,0,0.674,0.648,0.619,0,0.0665,-5.223,0.0293,134.977
