name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Notorious Thugs - 2014 Remaster,366880,72,0.121,0.704,0.873,5.12e-06,0.24,-4.057,0.144,154.914,4
I Love Rock 'N Roll,175173,80,0.326,0.535,0.716,0,0.659,-5.025,0.0431,94.379,4
Changes,345173,0,0.00864,0.822,0.704,0.627,0.0633,-8.242,0.0374,125.999,4
"Oh, Pretty Woman",178933,77,0.712,0.619,0.603,0,0.0721,-9.481,0.0342,127.433,4
Lost Without You,225853,73,0.932,0.386,0.136,0,0.0653,-9.267,0.0458,67.016,3
Eleanor Rigby - Remastered 2009,126533,73,0.936,0.581,0.28,1.56e-05,0.305,-9.091,0.0381,137.831,4
Zombie,306426,12,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,166.973,4
"Nuthin' But A ""G"" Thang",238466,77,0.00575,0.801,0.699,0,0.146,-8.18,0.279,94.605,4
Oops!...I Did It Again,211160,83,0.3,0.751,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,4
She's Country,220573,74,0.198,0.553,0.872,0,0.0659,-2.832,0.0782,172.138,4
Kashmir - 1990 Remaster,508200,4,0.488,0.48,0.536,4.22e-05,0.155,-11.166,0.0427,80.617,3
One Too Many,203893,68,0.247,0.697,0.535,0,0.569,-6.504,0.068,82.959,4
A Hard Day's Night - Remastered 2009,154200,71,0.137,0.59,0.805,0,0.0996,-6.481,0.0371,138.514,4
Planez,240320,76,0.7,0.688,0.556,1.87e-06,0.108,-7.738,0.264,129.336,4
Violet Hill,222653,38,0.0614,0.33,0.58,0.00129,0.115,-7.875,0.0374,76.093,4
Pray to God (feat. HAIM),232226,67,0.015,0.606,0.949,2.76e-05,0.109,-2.749,0.0414,120.031,4
Mercy,217120,71,0.84,0.638,0.367,0,0.0999,-7.906,0.0266,71.957,4
Bloom - Bonus Track,210080,76,0.882,0.592,0.416,0.000586,0.112,-9.794,0.0246,96.002,4
Self Care,345133,84,0.367,0.52,0.538,0.00187,0.119,-8.109,0.206,141.894,4
When We Were Young,290906,2,0.348,0.381,0.594,0,0.0925,-5.97,0.0486,143.86,4
End Of The Road,351466,75,0.0664,0.64,0.427,0,0.0579,-9.29,0.0241,149.703,3
Memories,189486,37,0.837,0.764,0.32,0,0.0822,-7.209,0.0546,91.019,4
In Your Eyes,237520,84,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,4
